MUNICIPALITY|CH|DES|VOTER ID|P|W/P|CG|SS|SR|CC|REQTYPE|REQDATE|REQDEN|ISSTYPE|ISSDATE|RECTYPE|RECDATE|DUP|ACC OR REJ|REJRSN|
ABBOT||O|100712339|D|1-1|2|4|119|1|UR|03/27/2020||EL|05/29/2020||||||
ACTON||O|100204500|U|1-1|1|34|20|1|UR|01/05/2020||EL|05/29/2020||||||
ACTON||O|048510195|D|1-1|1|34|20|1|UR|02/10/2020||EL|05/29/2020||||||
ACTON||O|048507532|R|1-1|1|34|20|1|UR|02/24/2020||EL|05/29/2020||||||
ADDISON|||100693771|U|1-1|2|6|138|3|ER|05/21/2020|||||||||
ADDISON|||040900080|D|1-1|2|6|138|3|ER|05/24/2020|||||||||
ADDISON|||100443237|U|1-1|2|6|138|3|ER|05/21/2020|||||||||
ADDISON|||100736360|D|1-1|2|6|138|3|TR|05/13/2020|||||||||
ADDISON|||040900119|D|1-1|2|6|138|3|ER|05/24/2020|||||||||
ADDISON|||040900325|D|1-1|2|6|138|3|TR|05/06/2020|||||||||
ADDISON|||100578157|U|1-1|2|6|138|3|ER|05/05/2020|||||||||
ADDISON|||040900562|D|1-1|2|6|138|3|ER|03/27/2020|||||||||
ADDISON|||040900563|D|1-1|2|6|138|3|ER|05/04/2020|||||||||
ADDISON|||040900582|D|1-1|2|6|138|3|ER|04/17/2020|||||||||
ADDISON|||040900688|D|1-1|2|6|138|3|ER|04/22/2020|||||||||
ADDISON|||040900689|D|1-1|2|6|138|3|ER|04/21/2020|||||||||
ADDISON|||100744039|U|1-1|2|6|138|3|ER|04/15/2020|||||||||
ADDISON|||100743355|U|1-1|2|6|138|3|ER|04/15/2020|||||||||
ADDISON|||100422111|D|1-1|2|6|138|3|ER|04/15/2020|||||||||
ALBANY TWP||O|022101374|D|1-1|2|18|117|1|UR|12/30/2019||EL|05/29/2020||||||
ALBION|||016100044|R|1-1|2|16|79|3|ER|04/18/2020|||||||||
ALBION|||015900057|D|1-1|2|16|79|3|ER|05/30/2020|||||||||
ALBION|||015900191|D|1-1|2|16|79|3|TR|04/24/2020|||||||||
ALBION|||015900216|D|1-1|2|16|79|3|TR|05/26/2020|||||||||
ALBION|||015900219|D|1-1|2|16|79|3|TR|05/26/2020|||||||||
ALBION|||015900222|D|1-1|2|16|79|3|ER|05/21/2020|||||||||
ALBION|||015900223|D|1-1|2|16|79|3|ER|05/21/2020|||||||||
ALBION|||015900333|D|1-1|2|16|79|3|TR|06/01/2020|||||||||
ALBION|||015900487|U|1-1|2|16|79|3|ER|04/27/2020|||||||||
ALBION|||015900488|U|1-1|2|16|79|3|ER|04/27/2020|||||||||
ALBION|||015900493|D|1-1|2|16|79|3|ER|05/11/2020|||||||||
ALBION|||015900494|D|1-1|2|16|79|3|ER|05/11/2020|||||||||
ALBION|||100747171|D|1-1|2|16|79|3|ER|04/17/2020|||||||||
ALBION||S|100752877|R|1-1|2|16|79|3|UR|02/18/2020||EL|05/29/2020||||||
ALBION|||015900605|R|1-1|2|16|79|3|ER|05/26/2020|||||||||
ALBION|||015900610|R|1-1|2|16|79|3|ER|05/26/2020|||||||||
